name,section,weight,note
Prutz,30401,1,Kaunertal/Gepatsch dams the Faggenbach; Prutz turbines the diverted Kauner water (JRC 661 GWh) though it sits on the Inn at section 30300
Jochenstein,60100,1,Danube Grenzkraftwerk; plant coordinates lie in the river outside every KLIEN catchment polygon; pinned to the Danube section ab Staatsgrenze - Pegel Linz (applies to the AT and DE treaty halves)
Passau Ingling,30901,1,Inn Grenzkraftwerk; coordinates outside every KLIEN catchment polygon; pinned to the Inn section in Oberoesterreich (applies to the AT and DE treaty halves)
Egglfing Obernberg,30901,1,Inn Grenzkraftwerk; coordinates outside every KLIEN catchment polygon; pinned to the Inn section in Oberoesterreich (applies to the AT and DE treaty halves)
Ering Frauenstein,30901,1,Inn Grenzkraftwerk; coordinates outside every KLIEN catchment polygon; pinned to the Inn section in Oberoesterreich (applies to the AT and DE treaty halves)
Braunau Simbach,30901,1,Inn Grenzkraftwerk; already inside the Inn section by point-in-polygon; pinned so the DE treaty half shares the section energy as well
Scharding Neuhaus,30901,1,Inn Grenzkraftwerk; already inside the Inn section by point-in-polygon; pinned so the DE treaty half shares the section energy as well
Wiestal,40602,1,Salzburg AG storage plant on the Almbach (Wiestalstausee); powerplantmatching geocoded the operator address in Salzburg city which lies in the Salzach section 40600
Strubklamm,40602,1,Salzburg AG storage plant on the Almbach (Strubklamm reservoir); powerplantmatching geocoded the operator address in Salzburg city which lies in the Salzach section 40600
Gemeinschaftskraftwerk Inn,30200,1,GKI dam at Ovella near the Swiss border with the powerhouse at Prutz; KLIEN books its energy on the upper Inn section up to Pegel Kajetansbruecke (C_current 97 MW) while the powerhouse coordinates fall into section 30300
Hieflau,50900,1,Verbund Kraftwerk Hieflau turbines Enns water dammed at the Gesaeuse exit; its coordinates fall into the Erzbach tributary section 50901 (C_current 7.5 MW) while KLIEN books it on the Enns section up to Pegel Grossreifling (C_current 122 MW = Hieflau 63 + Landl 25 + Krippau 30)
Amlach,80300,1,TIWAG Kraftwerk Amlach (60 MW) turbines Drau water diverted from Tassenbach through a 22 km tunnel (https://de.wikipedia.org/wiki/Kraftwerk_Amlach); its coordinates in the Drau channel fall outside every KLIEN polygon; pinned to the Drau section up to Pegel Lienz (C_current 63 MW)
Weyer,51100,1,Ennskraftwerke Laufkraftwerk Weyer; the relocated coordinates fall into the Gaflenzbach tributary polygon 51101 while KLIEN books the plant on the Enns section up to Pegel Jaegerberg (C_current 261 MW = Weyer + Grossraming + Losenstein + Ternberg + Rosenau + Garsten)
Sohlstufe Lehen,40600,1,Salzburg AG Sohlstufe Lehen lies in Salzburg city; the approximate coordinates fall into the downstream section 40700 while KLIEN books it on the Salzach section up to Pegel Salzburg (C_current 61 MW = Urstein + Hallein + Lehen + small plants)
Krippau,50900,1,Verbund Laufkraftwerk Krippau; ppm coordinates fall into section 51000 while KLIEN books it on the Enns section up to Pegel Grossreifling (C_current 122 MW = Hieflau 63 + Landl 25 + Krippau 30)
Zirknitz,80601,1,KELAG Kraftwerk Zirknitz uses the Grosssee in the Zirknitztal above Grosskirchheim; ppm coordinates fall into section 80602 while the upstream Moell section up to Pegel Winklern (C_current 53 MW) has no other plant of that size
Silz Maschine,30407,1,"TIWAG Kraftwerksgruppe Sellrain-Silz: the Silz powerhouse stands on the Inn at Silz (section 30500, C_current 13 MW) but turbines the water of the Finstertal and Laengental reservoirs at Kuehtai, which collect the Oetztal side valleys (https://www.tiwag.at/unternehmen/energie-erzeugen/wasserkraft/kraftwerke/kraftwerksgruppe-sellrain-silz/); KLIEN books the group on the Oetztaler Ache section 30407 (C_current 534 MW = Silz 500 + small plants; the Kuehtai pumped-storage stage is excluded)"
